division,miles_from_MA_border_nb,miles_from_div_start_nb,location,elevation_ft,elevation_m,miles_from_div_start_sb
division8,161.4,14.5,Theron Dean Shelter,3320.0,1012.0,4.4
division8,163.2,16.3,Vt. 17 at Appalachian Gap,2377.0,725.0,2.6
division8,163.6,16.7,Baby Stark Mountain,2807.0,856.0,2.2
division8,164.5,17.6,Molly Stark’s Balcony,2900.0,884.0,1.3
division8,165.8,18.9,Beane Trail to Birch Glen Camp,2020.0,616.0,0.0
division9,167.3,1.5,Huntington Gap,2217.0,676.0,27.4
division9,168.7,2.9,Cowles Cove Shelter,2520.0,768.0,26.0
division9,169.6,3.8,Hedgehog Brook Trail,2800.0,853.0,25.1
division9,170.2,4.4,Burnt Rock Mountain,3168.0,966.0,24.5
division9,172.8,7.0,Mt. Ethan Allen,3688.0,1124.0,21.9
division9,173.6,7.8,Allis Trail junction,2890.0,881.0,21.1
division9,173.8,8.0,Montclair Glen Lodge,2670.0,814.0,20.9
division9,174.0,8.2,Wind Gap,2800.0,853.0,20.7
division9,175.5,9.7,Alpine Trail junction,3800.0,1159.0,19.2
division9,175.7,9.9,Camel’s Hump,4083.0,1245.0,19.0
division9,176.0,10.2,Camel’s Hump Hut Clearing,3800.0,1159.0,18.7
division9,176.4,10.6,Gorham Spring,3400.0,1037.0,18.3
division9,176.8,11.0,Alpine Trail north end,2930.0,893.0,17.9
division9,179.2,13.4,Bamforth Ridge Shelter,1900.0,579.0,15.5
division9,180.3,14.5,Duxbury Window,1290.0,390.0,14.4
division9,181.3,15.5,Gleason Brook bridge,580.0,177.0,13.4
division9,181.9,16.1,Duxbury Road parking lot,400.0,122.0,12.8
division9,184.2,18.4,Winooski River footbridge,315.0,96.0,10.5
division9,184.5,18.7,U.S. 2 parking lot,330.0,101.0,10.2
division9,184.7,18.9,Notch Road,330.0,101.0,10.0
division9,189.6,23.8,Duck Brook Trail,2145.0,654.0,5.1
division9,191.0,25.2,Buchanan Shelter,2310.0,704.0,3.7
division9,192.0,26.2,Harrington’s View,2585.0,788.0,2.7
division10,194.7,0.0,Bolton Mtn.,3725.0,1135.0,27.6
division9,194.7,28.9,Bolton Mountain,3725.0,1135.0,0.0
division10,195.2,0.5,Puffer Shelter,3200.0,975.0,27.1
division10,196.1,1.4,Mt. Mayo,3160.0,963.0,26.2
division10,197.5,2.8,"Mt. Clark, east slope",2800.0,853.0,24.8
division10,198.6,3.9,"Lake Mansfield Trail to Taylor Lodge and Clara Bow Trail, 0.1 mi E; to Nebraska Valley Road, 1.6 mi E",1850.0,564.0,23.7
division10,199.0,4.3,"Clara Bow Trail to Taylor Lodge, 0.4 mi E",1860.0,567.0,23.3
division10,199.3,4.6,"Nebraska Notch Trail to Stevensville parking lot, 1.5 mi W",1780.0,543.0,23.0
division10,200.7,6.0,"Twin Brooks Tenting Area, 100 ft W via spur",2300.0,701.0,21.6
division10,201.9,7.2,"Wallace Cutoff to Butler Lodge (3030 ft/924 m), 0.1 mi W; to Stevensville parking lot via Butler Lodge Trail, 1.9 mi W",3100.0,945.0,20.4
division10,202.1,7.4,"Needle’s Eye; Forehead Bypass to Long Trail north of Forehead, 1.2 mi N",3080.0,939.0,20.2
division10,202.8,8.1,"Forehead; Maple Ridge Trail to Butler Lodge via Wampahoofus Trail, 0.8 mi S; to Underhill State Park via Maple Ridge Trail, 3.6 mi W",3940.0,1202.0,19.5
division10,203.1,8.4,"TV Road; Forehead Bypass, north end",3900.0,1190.0,19.2
division10,203.4,8.7,"Mt. Mansfield Visitor Center: Toll Road to South Link and Haselton Trail, 0.5 mi E",3849.0,1173.0,18.9
division10,203.6,8.9,"Halfway House Trail to Underhill State Park, 2.3 mi W",3880.0,1183.0,18.7
division10,203.9,9.2,"Drift Rock; Amherst Trail to TV Road, 0.3 mi S",3940.0,1202.0,18.4
division10,204.1,9.4,Upper Lip,3964.0,1209.0,18.2
division10,204.3,9.6,Lower Lip,4030.0,1229.0,18.0
